Bedrijf;E-mail;Contact;Adres;Post;Gemeente;Telefoon;Standnr;Sector;groen;geel;rood;blauw
Agidens;michael.vantveer@agidens.com;Michael vanÔt Veer;Baarbeekˇ1;2070;Zwijndrecht;03 800 76 49;17;"Vooruitgang. Daar draait het om bij Agidens. Wij helpen onze klanten bij het verbeteren van hun processen en procedures. Wij ondersteunen hen in de vorm van consulting & engineering, door het leveren van turn key geautomatiseerde oplossingen en service & support. We brengen oplossingen die zorgen voor meer efficiântie, kwaliteit, veiligheid en betrouwbaarheid. . Agidens richt zich daarbij op de doelmarkten life sciences, food & beverage, tank terminals, fijnchemie en infrastructuur.

Agidens heeft wereldwijd meer dan 600 medewerkers in dienst en is actief in zes landen: Belgiâ (hoofdzetel), Nederland, Frankrijk, Duitsland, Zwitserland en de VS. Samen realiseren zij een order intake van ca. 90 miljoen euro. Meer info op  www.agidens.com 

Om onze groei verder te versterken zijn we steeds op zoek naar getalenteerde en gemotiveerde collega?s die willen meewerken aan onze missie naar vooruitgang. Want progress brings us together.";FALSE;FALSE;TRUE;TRUE
AGO Jobs & HR;lieselot.devos@ago.jobs;Liselot Devos;Wolvenstraatˇ23;8500;Kortrijk;056 26 17 07;19;AGO Jobs & HR is uw gids op de arbeidsmarkt. We helpen u snel aan en leuke en gevarieerde job als arbeider, bediende of student. AGO Jobs & HR heeft een ruim aanbod aan vacatures voor zowel interimwerk (met optie vast) en studentenjobs in bloeiende en dynamische bedrijven.;TRUE;TRUE;TRUE;TRUE
Air Liquide;anne-sophie.bodart@airliquide.com;Anne-Sophie Bodart;Bourgetlaanˇ44;1130;Brussel;0471 21 58 13;18;Air Liquide is wereldleider in de productie en distributie van industriâle gassen (zuurstof, stikstof, waterstof, ?), energie en nutsvoorzieningen. Aanwezig in 80 landen en met circa 70.000 medewerkers, levert Air Liquide diensten aan meer dan 3 miljoen klanten en patiânten.;FALSE;FALSE;TRUE;TRUE
Akkermans & Partners;felixvanlantschoot@akkermanspartners.be;Filix Van Lantschoot;Generaal Lemanstraat ˇ74;2600;Berchem;03 238 68 10;21;"Akkermans & Partners is dÇ specialist in het leveren van ondersteuning, expertise en advies aan de hele verzekeringssector. Onze diensten bestaan uit Consulting, Outsourcing en Software. Wij zijn actief bij verzekeringsmaatschappijen, -makelaars en leasingfirma?s met een ?vliegende equipe? van sterke verzekeringstechnische profielen, gespecialiseerd in zowel de life als de non-life verzekeringstak. 

Naast ervaren mensen zoeken wij ook junior consultants die bij ons hun carriäre willen uitbouwen door verschillende ervaringen op te doen bij verschillende bedrijven.";TRUE;FALSE;FALSE;FALSE
Aleris Aluminum Duffel BVBA;inge.picard@aleris.com;Inge Picard;Adolf Stocletlaan ˇ87;2570;Duffel;015 30 20 82;20;Aluminium is het materiaal van de toekomst en Aleris is ÇÇn van de belangrijkste producenten van de wereld. De groep maakt halffabrikaten voor de auto-, de luchtvaart-, bouw- en engineeringsector. De Belgische vestiging, Aleris Aluminum in Duffel, is een van de drie grootste producenten van hoogwaardige walsproducten. Binnen de groep is Duffel trouwens hÇt innovatiecentrum voor de autosector. Toekomst verzekerd, want elk jaar stijgt het aandeel aluminium in de auto. Want: hoe meer aluminium hoe lichter en zuiniger, en hoe lager de CO2-uitstoot.;FALSE;FALSE;TRUE;FALSE
AllPhi;ˇjasmine.debusser@allphi.eu;Jasmine De Busser;Nijverheidsstraatˇ13;2260;Westerlo;014 39 17 55;53;"AllPhi is een jong & dynamisch softwarebedrijf gespecialiseerd in .NET ontwikkeling. We zijn opgericht in 2012 en hebben door onze sterke groei ondertussen een 90-hoofdig team met kantoren in Westerlo en Merelbeke. 
Binnen deze omgeving ontwikkelen en onderhouden wij applicaties. Wij plaatsen onze ontwikkelaars, die bij ons vast in dienst zijn, voor korte of lange projecten bij onze klanten. 
Door onze sterke troeven zoals onafhankelijkheid, enkel vaste medewerkers, specialist in .NET en motiverende projecten in eigen portefeuille zijn wij op enkele jaren tijd uitgegroeid tot de grootste .NET-speler op de Vlaamse markt.";TRUE;FALSE;FALSE;TRUE
Alphabet Belgium LTR NV;janne.hermans@alphabet.be;Janne Hermans;Ingberthoevewegˇ6;2630;Aartselaar;03 459 50 63;23;"Alphabet, the leading provider for outstanding business mobility.
Als ÇÇn van de marktleiders voor zakelijke mobiliteit in Europa helpt Alphabet bedrijven om hun wagenpark op een efficiânte en duurzame manier te beheren. Alphabet werd in 1997 opgericht als een divisie van BMW Group en heeft sindsdien een brede kennis verworven op het gebied van internationaal wagenparkbeheer en operationele leasing. De uitgebreide dienstverlening omvat zowel advies als financiering. Om aan de specifieke eisen van bedrijven te voldoen, zijn onze zakelijke mobiliteitsoplossingen op maat gemaakt.
Met een portefeuille van meer dan 680.000 voertuigen van alle merken in 24 landen is de organisatie ÇÇn van de vier belangrijkste spelers op de markt. In Belgiâ beheert Alphabet vandaag meer dan 53.000 voertuigen, goed voor een plaats in de top 3.";TRUE;FALSE;TRUE;FALSE
Ardovlam NV;stefanie.lootens@ardovlam.be;Stefanie Lootens;Kruisboommolenstraat ˇ13;8800;Roeselare;051 79 13 24;24;"Ardovlam is marktleider in de Belgische Fire Safety en Security markt in Vlaanderen. We hebben ongeveer 15 000 installaties in diverse markten sinds 1990 succesvol opgeleverd. We zijn actief in brand-, gas-, inbraakdetectie, camerabewaking en toegangscontrole. Met ons team van 90 medewerkers, waarvan 55 service technici zijn we actief over gans Vlaanderen en opereren we vanuit 3 vestigingen; Roeselare, Wilrijk en Lummen. Onze service technici voeren zowel onderhouden, indienstellingen en herstellingen uit. Wij zijn steeds op zoek naar versterking.";FALSE;FALSE;FALSE;TRUE
Atos;roxanne.vaneycken@atos.net;Roxanne Van Eycken;Da Vincilaanˇ5;1930;Zaventem;0492 15 77 41;26;"We are leaders in digital services with pro forma annual revenue of circa 12 billion euro and circa 100,000 employees in 72 countries, serving a global client base.
We strive to create the firm of the future. We believe that bringing together people, business & technology is the way forward. At Atos, we embrace this journey, striving to remain the trusted partner that delivers digital empowerment to our clients.
We are the Worldwide Information Technology Partner for the Olympic & Paralympic Games.
A Societas Europaea (SE), we are listed on the Euronext Paris market. We operate under the main brands Atos, Atos Consulting, Atos Worldgrid, Bull, Canopy, Unify and Worldline.";FALSE;FALSE;FALSE;TRUE
AXA Belgium;Eda Karacaogla@axa.be;Eda Karacaoglan;Troonpleinˇ1;1000;Brussel;02 678 55 88;25;"At AXA we realize that the world is changing. As such, we are not standing still. No, we consciously choose to work more efficiently, simply and digitally. As an evolving company we are always moving forward, looking for new talented prospects with new innovative ideas. That is the only way we can realize an even better partnership with our clients and brokers and prepare for the future.

The AXA Group is a worldwide leader in Insurance and Asset Management; we protect and advise our individual and corporate customers at every stage of their life. Providing them with the products and services that meet their insurance, personal protection, savings and wealth management needs. AXA is present in more than 60 countries and is the number one global insurance brand for many consecutive years.  In Belgium, we have more than 4,000 employees. We work together with about 4,000 brokers and 670 bank agents whose aim is to move from payer to partner for our 2.9 million clients. At AXA, our employees are our greatest asset. Therefore, a pleasant and modern working atmosphere is crucial to us. Together we seek to foster a diverse and inclusive culture where our thoughts.           

Our mission? Empower people to live a better life.
Our values? Customer First, Courage, Integrity and One AXA.  Solliciteren via www.axa.be/ab/NL/jobs";TRUE;FALSE;FALSE;TRUE
AXI NV;evdv@axi.be;Luc Stuer;Molenweg 107;2830;Willebroek;03 860 41 30;27;"AXI is een onafhankelijke ICT partner in Belgiâ en Nederland. We bedenken, ontwikkelen en beheren innovatieve softwareoplossingen voor retail, overheid, semi-overheid, zorg en bedrijven uit de sectoren trade, service en industry. We investeren in het begrijpen van de business uitdagingen van de klant, wat toelaat om nieuwe inzichten, software en technologieân op de best mogelijke manier in te zetten. We werken agile, samen met de klant. Met onze managed cloud en infrastructuur services ontzorgen we onze klanten maximaal. 
AXI maakt samen met LoQutus, Ground lion en Elegio deel uit van de AXI groep. De groep telt 320 medewerkers en heeft kantoren te Willebroek, Breda, Sint-Denijs-Westrem en Waver.";TRUE;TRUE;TRUE;TRUE
AXIS GROUP -HR Advisor;nadia.jetati@axis.eu;Nadia Jetati;Bourlastraatˇ3;2000;Antwerpen;02 223 41 36;31;"Trusted HR Advisor in Banking & Insurance, Accountancy & Finance, Legal, Business Support & HR
Axis Group, is met meer dan 20 jaar ervaring in het rekruteren van specifieke profielen, een ervaren HR Advisor die de perfecte match tussen werkgever en werknemer waarmaakt.
Wij bieden een allround HR-dienstverlening in volgende specialisaties: insurance, banking, finance, legal, business support, digital, HR, ? en werken steeds volgens hoge standaarden.
Wij begeleiden je in je (eerste) stappen naar een droomcarriäre, we bieden een doorgedreven job coaching en professionele begeleiding voor sollicitatiegesprekken en tenslotte kan je op ons rekenen voor een verdere opvolging van je ganse carriäre.";TRUE;TRUE;FALSE;FALSE
Axxes;nicolas.vandriessche@axxes.com;Nicolas Van Driessche;Entrepotkaai ˇ10A;2000;Antwerpen;03 334 04 40;29;"Axxes is een no-nonsens IT consultancy organisatie. Als Full-Service Project Sourcing specialist leveren we flexibele en kwalitatief hoogwaardige ICT diensten op vlak van software development, testing, system engineering, project management en data. 
Momenteel zijn we uitgegroeid tot een organisatie met meer dan 155 consultants. Om onze positie verder uit te bouwen zijn we op zoek naar getalenteerde IT-profielen binnen software development, testing, infrastructuur en data. Skivakanties, maandelijkse drinks, summer events, competence weekends,?  zorgen voor een jonge en dynamische atmosfeer binnen Axxes. Onze focus op kwaliteit, groei en 'feel good' verzekert het succes bij onze klanten en onze medewerkers (Great Place to Work© Ambassador 2018)!
De gevraagde kennis op het gewenste moment, de geknipte persoon op het gepaste project. IT is about People!";FALSE;TRUE;FALSE;TRUE
BASF Antwerpen NV;tinne.goossens@basf.com;Tinne Goossens;Scheldelaanˇ600;2040;Antwerpen;03 561 28 11;28;Onze BASF-collega?s werken wereldwijd samen om innoverende oplossingen en geavanceerde concepten te ontwikkelen. Hun passie doet ons bedrijf vooruitgaan en versterkt onze leiderspositie in de chemische sector. BASF Antwerpen verwelkomt dynamische teamplayers, gepassioneerde en creatieve persoonlijkheden om de productiesite verder te optimaliseren.;FALSE;FALSE;TRUE;TRUE
Bayer Agriculture BVBA;nadia.fossin@bayer.com;Nadia Fossion;Scheldelaanˇ 460;2040;Antwerpen;03 568 50 34;30;Bayer is a world-class innovation company with more than 150 years history in the life science fields of health care and agriculture. Bayer successfully completed the acquisition of Monsanto in June 2018, bringing together Monsanto?s leadership in seeds and plant traits with Bayer?s leadership in chemical and biological crop protection. By joining forces, we will create even more extensive career opportunities for talent around the world. We?re a global team working to shape agriculture through breakthrough innovation that will benefit farmers, consumers, and our planet. ?;FALSE;FALSE;TRUE;FALSE
BDO;leslie.ewbank@bdo.be;Leslie Ewbank;Da Vincilaan ˇ9 - Box E.6;1930;Zaventem;0498 61 67 83;32;"BDO is een internationaal opererende accountantsorganisatie en is qua omvang de vijfde accountants- en adviesorganisatie ter wereld  Het bedrijf is actief binnen volgende domeinen:
?	Audit en assurance
?	Tax en legal
?	Advisory
?	Accounting en Reporting";TRUE;FALSE;FALSE;FALSE
Belfius Bank en Verzekeringen;Liesbet.Evens@belfius.be;Liesbet Evens;Karel Rogierpleinˇ11;1210;Brussel;02 222 08 55;34;"Starters op weg zetten naar hun eerste succes, particulieren hun woondroom helpen realiseren, ondernemers ondersteunen bij de groei van hun onderneming? Wie bij Belfius werkt, speelt elke dag een rol van betekenis in onze samenleving. Onze medewerkers zijn stuk voor stuk experten die elk op hun manier bijdragen aan de projecten en de tevredenheid van onze klanten.

Werken bij Belfius, dat is meer dan voldoening vinden in uw job. Dat is ook uw rol opnemen in de toekomst van onze samenleving.";TRUE;FALSE;FALSE;FALSE
Bergerat Monnoyeur NV/SA;igomes@bmbe.be;Isabel Gomes Paula Figeiredo;Brusselsesteenweg ˇ340;3090;Overijse;02 689 23 01;33;"Bergerat Monnoyeur is de onafhankelijke en exclusieve dealer van Caterpillar Belgiâ en Luxemburg. We maken deel uit van de Franse ?Groupe Monnoyeur?, die ook dealer is van CAT© in Frankrijk, Polen, Roemeniâ en Algerije. Met meer dan 340 medewerkers in Belgiâ staan wij garant voor een uitstekende dienstverlening in de divisies Grondverzet (graafmachines, wielladers?), Eneria (stroomgroepen, industriâle motoren en
marine motoren) en Work Tools & Service uitrustingsstukken).
De hoofdzetel van Bergerat Monnoyeur Belgiâ is gevestigd in Overijse, en er zijn servicepunten in Izegem, Herstal en Antwerpen.

Bergerat Monnoyeur is regelmatig op zoek naar nieuwe medewerkers voor allerlei functies binnen haar divisies grondverzet, Eneria en Work Tools & Service. Wij zoeken mensen die zich met hart en ziel inzetten voor hun werk, die gepassioneerd zijn door techniek en die het leuk vinden om elke dag bij te leren. Zo
bieden wij onze nieuwe collega?s een intensieve begeleiding en stimuleren hen om door te groeien en zichzelf te overtreffen.
Kortom, als je bij Bergerat Monnoyeur komt werken, dan geraak je niet uitgeleerd!";FALSE;FALSE;TRUE;FALSE
Bilfinger;daphne.de.baets@bilfinger.com;Daphne De Baets;Boereveldseweg ˇ4;2070;Zwijndrecht;0474 91 00 67;35;"Bilfinger maakt deel uit van het Bilfinger business segment Maintenance, Modifications & Operations (MMO) in de regio Noordwest-Europa. 
De Groep Bilfinger biedt de klanten full-service oplossingen aan, zowel op het vlak van engineering en consulting als van management en uitvoering van nieuwbouwprojecten en 
onderhoud en modernisering van industriâle installaties. 
Door te focussen op kernmarkten in de procesindustrie kan Bilfinger een zeer hoog niveau van branche-expertise aan de klanten leveren met name aan raffinaderijen, (petro
)chemische bedrijven, olie-en gasindustrie, energie-en nutsbedrijven, pharma en biopharma, metallurgie en 
cementindustrie. 
Onze kwaliteits-en veiligheidscertificaten garanderen 
bovendien een correcte en betrouwbare uitvoering van uw projecten. 
Wereldwijd telt de groep Bilfinger ongeveer 37.000 
medewerkers.";FALSE;FALSE;TRUE;FALSE
Bio Base Europe Pilot Plant;helena.moens@bbeu.org;Helena Moens;Rodenhuizekaai ˇ1;9042;Desteldonk;0472 87 14 06;36;"The Bio Base Europe Pilot Plant is an open innovation pilot facility for the development of bio-based products and processes. With its 70 employees, Bio Base Europe Pilot Plant assists companies to bring their innovations from lab to industrial scale. These innovations are typically based on fermentation, biocatalysis and green chemistry, while markets focus on building block chemicals, food and feed ingredients, nutraceuticals, flavors, fragrances, enzymes, plant protections agents and many more.
Bio Base Europe Pilot Plant intends to be thÇ workplace where all employees can fully exploit their potential. We prove that commitment and hard working can indeed be combined with a fun atmosphere.
We are all very much into the biobased economy, as a team but also as individuals, each in our own way.
Bio Base Europe Pilot Plant highly values equality and diversification, for us a matter of actions speaking louder than words!
When hiring a new employee, talent and skills are always more important than age, gender, ethnicity, handicap or nationality.";FALSE;FALSE;TRUE;FALSE
BNP Paribas Fortis;kara,weymeis@bnpparibasfortis.com;Kara Weymeis;Warandeberg ˇ3 - 1KA3E;1000;Brussel;02 565 94 60;40;BNP Paribas Fortis, de 1ste bank in Belgiâ, biedt een complete set van financiâle diensten aan particuliere klanten, professionals, vermogende particulieren, ondernemingen, openbare instellingen en financiâle instellingen. Het ondersteunt zijn klanten in het buitenland gemakkelijk, dankzij een uniek Europees netwerk en de veelheid aan wereldwijde posities van de BNP Paribas Group.;TRUE;FALSE;FALSE;FALSE
bol.com;pdeboer@bol.com;Pieter de Boer;Papendorpseweg 96;3528BJ;Utrecht (NL);0031(0)618536086;39;e-commerce, webwinkel in Nederland enBelgiâ;FALSE;TRUE;FALSE;FALSE
BollorÇ Logistics Belgium;be.careeers@bollore.com;Debra Van den Bleeken;Rijnkaaiˇ37;2000;Antwerpen;03 234 55 53;60;"BollorÇ Logistics is a global leader in international transport & logistics. Constantly adapting to its customers' changing needs, the company has enriched its expertise to become a tier-one supply chain partner and one of the top 10 transport and logistics companies in the world with the largest integrated logistics network in Africa. BollorÇ Logistics delivers custom-fit solutions with a high added value that draw on an in-depth experience and understanding of different industries, as well as the constant quest for improvement and optimisation that is central to the company's own culture and values. 

BollorÇ Transport & Logistics brings together four traditional businesses of the BollorÇ Group. BollorÇ Ports, BollorÇ Logistics, BollorÇ Railways and BollorÇ Energy are four areas of business and expertise that now work together to satisfy our global clients. BollorÇ Transport & Logistics makes all of its areas of expertise available to its clients, including construction and operation of port terminals and railway lines, freight forwarding and Oil logistics, based on the expertise of 36,000 employees in 105 countries.";TRUE;FALSE;FALSE;FALSE
Bonache;vacature@bonache.be;Robin Van de Velde;Vlaamsekaaiˇ90;2000;Antwerpen;03 248 39 19;41;"Maak kennis met Bonache op de jobbeurs van AP & KdG op 13 maart!
Bonache is sinds 2004 actief in projectsourcing en legt de focus op techniek, industrie en logistiek.   
Bonache is een betrokken werkgever die streeft naar langdurige werkrelaties. In onze visie zijn regelmatige opvolging, investeren in persoonlijke ontwikkeling en ondersteuning onze dagelijkse realiteit. Alle werknemers zijn in vast dienstverband bij Bonache.
Onze dienstverlening situeert zich vooral in de domeinen: 
-	Aankoop 
-	Technisch administratieve functies 
-	Technische functies: projectleiders, werkvoorbereiders, supervisors, ? 
-	Werfopvolging 
-	Logistieke profielen: customer service, magazijnbediende, magazijnverantwoordelijke, ? 
-	Administratie & secretariaat  
In dezelfde domeinen situeert zich ook onze rekruterings- en selectieactiviteit.
We hopen jou te mogen verwelkomen op onze stand!

Bonache - Vlaamsekaai 90 - 2000 Antwerpen - 03 248 39 19 - www.bonache.be";TRUE;FALSE;TRUE;FALSE
